Name,Type,Width,Function,A53,Reset,Description
MIDR_EL1,RO,32,Main ID Register,,,VPIDR_EL2で設定
MPIDR_EL1,RO,64,Multiprocessor Affinity Register,,,VMPIDR_EL2で設定
REVIDR_EL1,RO,32,Revision ID Register,,,固定値（A53ではALL 0）
ID_PFR0_EL1,RO,32,AArch32 Processor Feature Register 0,,,
ID_PFR1_EL1,RO,32,AArch32 Processor Feature Register 1,,,
ID_DFR0_EL1,RO,32,AArch32 Debug Feature Register 0,,,
ID_AFR0_EL1,RO,32,AArch32 Auxiliary Feature Register 0,,,
ID_MMFR0_EL1,RO,32,AArch32 Memory Model Feature Register 0,,,
ID_MMFR1_EL1,RO,32,AArch32 Memory Model Feature Register 1,,,
ID_MMFR2_EL1,RO,32,AArch32 Memory Model Feature Register 2,,,
ID_MMFR3_EL1,RO,32,AArch32 Memory Model Feature Register 3,,,
ID_ISAR0_EL1,RO,32,AArch32 Instruction Set Attribute Register 0,,,
ID_ISAR1_EL1,RO,32,AArch32 Instruction Set Attribute Register 1,,,
ID_ISAR2_EL1,RO,32,AArch32 Instruction Set Attribute Register 2,,,
ID_ISAR3_EL1,RO,32,AArch32 Instruction Set Attribute Register 3,,,
ID_ISAR4_EL1,RO,32,AArch32 Instruction Set Attribute Register 4,,,
ID_ISAR5_EL1,RO,32,AArch32 Instruction Set Attribute Register 5,,,
ID_AA64PFR0_EL1,RO,64,AArch64 Processor Feature Register 0,,,
ID_AA64PFR1_EL1,RO,64,AArch64 Processor Feature Register 1,,,
ID_AA64DFR0_EL1,RO,64,AArch64 Debug Feature Register 0,,,
ID_AA64DFR1_EL1,RO,64,AArch64 Debug Feature Register 1,,,
ID_AA64AFR0_EL1,RO,64,AArch64 Auxiliary Feature Register 0,,,
ID_AA64AFR1_EL1,RO,64,AArch64 Auxiliary Feature Register 1,,,
ID_AA64ISAR0_EL1,RO,64,AArch64 Instruction Set Attribute Register 0,,,
ID_AA64ISAR1_EL1,RO,64,AArch64 Instruction Set Attribute Register 1,,,
ID_AA64MMFR0_EL1,RO,64,AArch64 Memory Model Feature Register 0,,,
ID_AA64MMFR1_EL1,RO,64,AArch64 Memory Model Feature Register 1,,,
CCSIDR_EL1,RO,32,Cache Size ID Register,,,
CLIDR_EL1,RO,64,Cache Level ID Register,,,
AIDR_EL1,RO,32,Auxiliary ID Register,,,固定値（A53ではRES0）
CSSELR_EL1,RW,32,Cache Size Selection Register,〇,,
CTR_EL0,RO,32,Cache Type Register,,,
DCZID_EL0,RO,32,Data Cache Zero ID Register,,,
AFSR0_EL1,RW,32,Auxiliary Fault Status Register 0,,,固定値（A53ではRES0）
AFSR1_EL1,RW,32,Auxiliary Fault Status Register 1,,,固定値（A53ではRES0）
ESR_EL1,RW,32,Exception Syndrome Register,〇,,
FAR_EL1,RW,64,Fault Address Register,〇,,
VBAR_EL1,RW,64,Vector Base Address Register,〇,,
ISR_EL1,RO,32,Interrupt Status Register,,,
SCTLR_EL1,RW,32,System Control Register,〇,,
TTBR0_EL1,RW,64,Translation Table Base Register 0,〇,,
TTBR1_EL1,RW,64,Translation Table Base Register 1,〇,,
